LSOA_Code,LSOA_Name,LADcode,Local_authority_name,pop_2001,pop_2011,Median_House_Prices_2001,Median_House_Prices_2011,All_cat_qual_2001,Level_4_qualifications_and_above_2001,All_cat_qual_2011,Level_4_qualifications_and_above_2011,All_categories_NS_SeC_2001,X1_Higher_managerial_administrative_and_professional_occupations_2001,All_categories_NS_SeC_2011,X1_Higher_managerial_administrative_and_professional_occupations_2011,Median_income_2001,Median_income_2011
E01002924,KingstonuponThames014E,E09000021,Kingston upon Thames,1553,1530,209950,452000,1120,450,1187,633,1121,206,1060,228,32220,48040
E01002925,KingstonuponThames013B,E09000021,Kingston upon Thames,1571,1615,158725,302500,1200,585,1374,786,1200,255,1249,266,30140,41640
E01002926,KingstonuponThames010B,E09000021,Kingston upon Thames,1494,1535,187000,392500,1100,381,1179,516,1101,162,1081,198,30330,43550
E01002927,KingstonuponThames008A,E09000021,Kingston upon Thames,1520,1556,154000,268750,1096,341,1262,457,1096,129,1137,151,28770,38850
E01002928,KingstonuponThames008B,E09000021,Kingston upon Thames,1529,1604,120000,217500,1053,425,1327,559,1056,155,1156,188,29370,39220
E01002929,KingstonuponThames007A,E09000021,Kingston upon Thames,1578,1633,249475,467500,1136,491,1305,686,1136,200,1211,279,31860,44870
E01002930,KingstonuponThames007B,E09000021,Kingston upon Thames,1563,1709,120000,353200,1210,454,1391,569,1212,173,1266,177,28570,38740
E01002931,KingstonuponThames007C,E09000021,Kingston upon Thames,1765,1850,179950,357500,1249,472,1415,681,1247,197,1316,223,30770,42340
E01002932,KingstonuponThames006A,E09000021,Kingston upon Thames,1533,1757,136750,250000,1075,295,1320,391,1074,117,1256,104,26700,33980
E01002933,KingstonuponThames004A,E09000021,Kingston upon Thames,1612,1995,177500,455000,1143,444,1524,652,1146,194,1377,233,29890,42310
E01002934,KingstonuponThames004B,E09000021,Kingston upon Thames,1769,1821,245250,657500,1271,606,1364,788,1274,288,1307,328,34500,48460
E01002935,KingstonuponThames003A,E09000021,Kingston upon Thames,1565,1770,137500,271250,1242,663,1509,810,1243,287,1450,283,31700,41440
E01002937,KingstonuponThames004D,E09000021,Kingston upon Thames,1472,1729,219475,459975,1089,527,1284,743,1090,237,1223,266,33030,46890
E01002938,KingstonuponThames003B,E09000021,Kingston upon Thames,1742,1935,200000,449000,1265,621,1457,829,1267,278,1357,333,32650,45360
E01002939,KingstonuponThames018A,E09000021,Kingston upon Thames,1482,1548,132000,214000,1033,158,1226,306,1038,64,1140,104,25330,35920
E01002940,KingstonuponThames020A,E09000021,Kingston upon Thames,1496,1580,134950,239000,1019,113,1211,258,1018,73,1104,86,25260,35350
E01002941,KingstonuponThames018B,E09000021,Kingston upon Thames,1521,1487,102500,228500,1126,213,1255,325,1126,112,1090,125,26480,36760
E01002942,KingstonuponThames018C,E09000021,Kingston upon Thames,1393,1370,152950,250000,1019,151,1108,266,1021,84,996,103,27210,37970
E01002943,KingstonuponThames020B,E09000021,Kingston upon Thames,1478,1396,129000,250000,977,137,1102,208,978,62,1036,83,24880,35770
E01002944,KingstonuponThames019A,E09000021,Kingston upon Thames,1351,1360,134000,249725,991,153,1037,222,993,91,979,84,26850,37780
E01002945,KingstonuponThames019B,E09000021,Kingston upon Thames,1510,1559,110250,225000,1080,184,1248,310,1078,104,1154,103,26850,37510
E01002946,KingstonuponThames019C,E09000021,Kingston upon Thames,1519,1498,131950,230000,1134,205,1229,301,1137,99,1144,110,27310,38200
E01002947,KingstonuponThames019D,E09000021,Kingston upon Thames,1607,1614,135475,260000,1133,153,1293,299,1131,79,1188,121,26780,38730
E01002948,KingstonuponThames020C,E09000021,Kingston upon Thames,1673,2103,187748,250000,1180,258,1645,452,1181,145,1492,176,28200,37750
E01002949,KingstonuponThames020D,E09000021,Kingston upon Thames,1627,1862,145000,282750,1182,242,1442,413,1181,124,1341,153,28110,37980
E01002950,KingstonuponThames020E,E09000021,Kingston upon Thames,1552,1596,109000,202000,1098,181,1259,279,1095,89,1148,117,25530,35090
E01002951,KingstonuponThames003C,E09000021,Kingston upon Thames,1503,1514,150500,455000,1160,639,1229,689,1164,263,1137,263,32970,44190
E01002952,KingstonuponThames002A,E09000021,Kingston upon Thames,1528,1541,712500,1250000,1075,529,1212,654,1068,211,1094,261,42780,58040
E01002953,KingstonuponThames002B,E09000021,Kingston upon Thames,1273,1308,425000,1167500,868,352,1058,531,873,144,947,183,37230,49820
E01002954,KingstonuponThames003D,E09000021,Kingston upon Thames,1379,1289,143000,229950,1070,585,1085,570,1074,222,930,179,30780,39260
E01002955,KingstonuponThames002C,E09000021,Kingston upon Thames,1195,1377,156000,532000,886,286,1149,433,891,116,1056,158,29080,41870
E01002956,KingstonuponThames002D,E09000021,Kingston upon Thames,1883,1611,277500,720000,1452,441,1362,471,1459,154,1219,156,33970,46450
E01002957,KingstonuponThames003E,E09000021,Kingston upon Thames,1557,1717,112000,194975,1124,318,1313,395,1120,110,1258,95,26610,34580
E01002958,KingstonuponThames008C,E09000021,Kingston upon Thames,1612,1680,163500,339125,1192,410,1305,610,1192,172,1241,221,30170,42780
E01002959,KingstonuponThames002E,E09000021,Kingston upon Thames,1433,1433,428913,660000,1009,485,1125,652,1008,226,1012,267,37020,52380
E01002960,KingstonuponThames006B,E09000021,Kingston upon Thames,1435,1627,185000,440000,1046,474,1282,625,1043,205,1159,234,32820,43590
E01002961,KingstonuponThames008D,E09000021,Kingston upon Thames,1709,1750,249950,498750,1178,544,1373,719,1181,231,1260,268,32520,45740
E01002962,KingstonuponThames006C,E09000021,Kingston upon Thames,1494,1528,145000,302000,1041,266,1184,376,1041,87,1103,114,26460,37160
E01002963,KingstonuponThames007D,E09000021,Kingston upon Thames,1588,1732,121475,240000,1212,469,1410,659,1209,182,1281,238,29020,39400
E01002964,KingstonuponThames005A,E09000021,Kingston upon Thames,1582,2231,148500,239000,1191,473,1935,703,1194,207,1794,216,28110,35510
E01002965,KingstonuponThames009A,E09000021,Kingston upon Thames,1622,2325,149950,372475,1266,555,2083,902,1271,243,1927,314,29640,39900
E01002966,KingstonuponThames010C,E09000021,Kingston upon Thames,1563,1910,187100,361225,1203,557,1540,761,1205,244,1461,273,30640,41750
E01002967,KingstonuponThames009B,E09000021,Kingston upon Thames,1568,1858,149000,310000,1284,725,1642,990,1281,345,1534,407,31300,44300
E01002968,KingstonuponThames009C,E09000021,Kingston upon Thames,1528,2631,216950,323975,1264,633,2346,1129,1266,292,2276,325,32020,41660
E01002969,KingstonuponThames005B,E09000021,Kingston upon Thames,1569,1748,79000,218000,1093,183,1368,253,1086,66,1287,55,20890,27930
E01002970,KingstonuponThames006D,E09000021,Kingston upon Thames,1499,1576,128975,249975,1097,293,1269,356,1095,102,1196,100,24950,32690
E01002971,KingstonuponThames005C,E09000021,Kingston upon Thames,1378,1709,146750,309950,1118,515,1410,692,1118,238,1334,226,29080,37520
E01002972,KingstonuponThames005D,E09000021,Kingston upon Thames,1393,1809,140000,268000,1133,488,1577,689,1131,203,1488,219,27760,35360
E01002973,KingstonuponThames006E,E09000021,Kingston upon Thames,1445,1372,128000,265000,986,229,1065,263,987,74,1026,65,24380,32620
E01002974,KingstonuponThames005E,E09000021,Kingston upon Thames,1560,1893,142475,470000,1119,468,1521,683,1122,178,1437,207,28070,37910
E01002975,KingstonuponThames012A,E09000021,Kingston upon Thames,1385,1381,214950,369000,1009,290,1091,423,1006,130,991,149,29020,40150
E01002976,KingstonuponThames015A,E09000021,Kingston upon Thames,1553,1654,148000,297500,1125,202,1287,394,1123,93,1185,173,27860,40320
E01002977,KingstonuponThames012B,E09000021,Kingston upon Thames,1537,1673,111475,292500,1082,225,1295,333,1085,114,1168,99,26510,35640
E01002978,KingstonuponThames015B,E09000021,Kingston upon Thames,1627,1761,216250,400000,1167,330,1485,581,1168,180,1337,250,30640,42900
E01002979,KingstonuponThames015C,E09000021,Kingston upon Thames,1515,1549,93725,370000,1143,309,1250,487,1144,146,1168,180,28460,41670
E01002980,KingstonuponThames012C,E09000021,Kingston upon Thames,1393,1413,221000,370500,1024,271,1149,383,1024,112,1049,130,29710,40530
E01002981,KingstonuponThames012D,E09000021,Kingston upon Thames,1469,1544,222750,330000,1041,310,1235,468,1036,120,1118,178,29970,41220
E01002982,KingstonuponThames015D,E09000021,Kingston upon Thames,1393,1438,206000,330000,966,256,1196,396,966,118,1007,151,29070,41250
E01002983,KingstonuponThames015E,E09000021,Kingston upon Thames,1545,1626,232500,369250,1148,304,1345,535,1153,149,1210,228,30540,43580
E01002984,KingstonuponThames012E,E09000021,Kingston upon Thames,1364,1426,342250,340000,963,363,1141,486,964,141,965,169,28520,38750
E01002985,KingstonuponThames007E,E09000021,Kingston upon Thames,1542,1662,156500,286000,1126,346,1284,465,1129,147,1183,145,28360,38320
E01002986,KingstonuponThames008E,E09000021,Kingston upon Thames,1258,1273,182500,308500,882,259,1033,397,882,119,922,147,29210,39780
E01002987,KingstonuponThames011B,E09000021,Kingston upon Thames,1557,1702,130500,250000,1294,672,1551,744,1291,292,1411,239,29660,39830
E01002988,KingstonuponThames011C,E09000021,Kingston upon Thames,1650,1906,167000,306000,1469,477,1700,638,1471,202,1652,244,30620,43170
E01002989,KingstonuponThames011D,E09000021,Kingston upon Thames,1635,1830,163000,290000,1407,767,1572,1025,1408,379,1535,454,32040,45440
E01002990,KingstonuponThames009D,E09000021,Kingston upon Thames,1522,1680,154950,280000,1298,681,1526,898,1295,309,1437,342,31240,43420
E01002991,KingstonuponThames009E,E09000021,Kingston upon Thames,1517,1613,147000,355000,1211,592,1384,748,1212,241,1317,296,30960,44490
E01002992,KingstonuponThames010D,E09000021,Kingston upon Thames,1763,1752,139950,304975,1505,407,1589,451,1502,152,1548,155,30050,41410
E01002993,KingstonuponThames013C,E09000021,Kingston upon Thames,1449,1519,146750,236750,1193,624,1369,808,1196,258,1262,277,30200,41310
E01002994,KingstonuponThames016A,E09000021,Kingston upon Thames,1457,1510,139000,303500,1067,433,1279,683,1072,198,1079,253,30200,42870
E01002995,KingstonuponThames013D,E09000021,Kingston upon Thames,1507,1476,237000,495000,1098,545,1248,740,1099,279,1060,326,32390,45150
E01002996,KingstonuponThames016B,E09000021,Kingston upon Thames,1479,1513,192250,388750,1069,380,1187,584,1068,179,1106,231,30760,43520
E01002997,KingstonuponThames016C,E09000021,Kingston upon Thames,1453,1462,200000,296000,1104,438,1192,641,1098,196,1114,252,30870,43430
E01002998,KingstonuponThames016D,E09000021,Kingston upon Thames,1427,1530,146500,298750,1014,281,1175,460,1018,112,1113,149,28290,39140
E01002999,KingstonuponThames013E,E09000021,Kingston upon Thames,1419,1449,127250,248975,1201,535,1262,636,1203,223,1191,214,29040,38290
E01003000,KingstonuponThames017C,E09000021,Kingston upon Thames,1596,1553,150000,281500,1140,194,1243,287,1139,86,1153,89,26030,35940
E01003001,KingstonuponThames017D,E09000021,Kingston upon Thames,1807,1831,157000,250000,1284,228,1447,422,1280,116,1340,133,27320,37110
E01003002,KingstonuponThames016E,E09000021,Kingston upon Thames,1629,1826,127000,231000,1204,356,1463,557,1198,160,1320,187,27790,37860
E01003003,KingstonuponThames017E,E09000021,Kingston upon Thames,1482,1557,163000,278000,1104,304,1263,404,1103,112,1176,121,27520,36860
E01003004,KingstonuponThames018D,E09000021,Kingston upon Thames,1527,1578,132450,261000,1124,221,1234,384,1125,104,1137,123,26980,37530
E01003005,KingstonuponThames018E,E09000021,Kingston upon Thames,1490,1488,133000,247475,1049,139,1171,293,1047,87,1090,107,26200,36900
E01003006,KingstonuponThames001A,E09000021,Kingston upon Thames,1429,1500,220250,395000,1030,463,1177,592,1027,215,1032,220,32680,45460
E01003007,KingstonuponThames001B,E09000021,Kingston upon Thames,1271,1513,219950,418750,880,290,1137,502,878,149,1029,202,31650,45760
E01003008,KingstonuponThames001C,E09000021,Kingston upon Thames,1256,1432,213000,429975,869,324,1045,526,869,147,976,200,31920,46930
E01003009,KingstonuponThames001D,E09000021,Kingston upon Thames,1649,1895,158975,285000,1163,432,1459,706,1161,187,1333,273,30510,43770
E01003010,KingstonuponThames001E,E09000021,Kingston upon Thames,1316,1497,271000,705125,948,437,1166,653,954,188,1082,228,33480,49800
E01003011,KingstonuponThames004E,E09000021,Kingston upon Thames,1482,1741,240950,290000,1040,557,1397,804,1039,271,1276,290,34210,45440
E01003013,Lambeth036A,E09000022,Lambeth,1481,1639,230000,412500,1286,771,1512,1006,1286,310,1478,442,30690,43920
E01003014,Lambeth036B,E09000022,Lambeth,1482,1534,170500,428000,1139,415,1365,599,1138,145,1281,208,25750,38530
E01003015,Lambeth002A,E09000022,Lambeth,1558,1594,144000,249950,1134,362,1301,485,1135,113,1244,152,23620,33690
E01003016,Lambeth036C,E09000022,Lambeth,1483,1352,250000,550000,1337,462,1274,501,1339,168,1251,171,29180,41640
E01003017,Lambeth036D,E09000022,Lambeth,1679,1663,250000,842000,1341,484,1457,639,1340,158,1389,241,27160,39640
E01003018,Lambeth020A,E09000022,Lambeth,1641,2079,163500,275000,1394,747,1839,1181,1393,254,1793,333,28430,41880
E01003019,Lambeth015A,E09000022,Lambeth,1585,2090,199725,312500,1332,703,1855,1156,1329,238,1796,433,29620,44450
E01003020,Lambeth016A,E09000022,Lambeth,1537,1775,192000,327500,1200,559,1496,819,1198,171,1444,237,26920,39270
E01003021,Lambeth021A,E09000022,Lambeth,1528,1903,143000,235000,1181,304,1627,474,1176,83,1492,121,23360,33640
E01003022,Lambeth021B,E09000022,Lambeth,1540,1746,158500,265000,1229,598,1482,788,1228,215,1428,242,28230,39150
E01003023,Lambeth021C,E09000022,Lambeth,1552,2380,131750,242000,1275,587,2038,1079,1273,171,1970,286,26690,37610
E01003024,Lambeth021D,E09000022,Lambeth,1503,1798,97000,175000,1068,305,1376,463,1069,76,1322,95,22970,32510
E01003025,Lambeth021E,E09000022,Lambeth,1572,2071,117500,248500,1170,366,1641,663,1168,109,1562,183,24640,35330
E01003026,Lambeth019A,E09000022,Lambeth,1515,1484,265000,452500,1260,828,1303,959,1260,371,1262,401,36030,51970
E01003027,Lambeth019B,E09000022,Lambeth,1459,1373,435000,865000,1063,693,1078,780,1064,324,1040,370,40900,57030
E01003028,Lambeth019C,E09000022,Lambeth,1555,1469,287000,862500,1192,612,1182,735,1193,277,1144,284,34980,50380
E01003029,Lambeth017A,E09000022,Lambeth,1483,1808,195000,330000,1226,714,1594,984,1232,323,1503,348,32420,42880
E01003030,Lambeth019D,E09000022,Lambeth,1489,1795,230000,363000,1212,784,1558,1140,1209,335,1515,486,35590,50230
E01003031,Lambeth023A,E09000022,Lambeth,1577,1658,240000,360000,1286,629,1420,789,1284,275,1391,307,30610,43290
E01003032,Lambeth017B,E09000022,Lambeth,1692,1747,182250,275000,1292,567,1498,709,1298,227,1417,245,29670,38440
E01003033,Lambeth019E,E09000022,Lambeth,1500,1518,261250,520000,1193,700,1213,772,1193,329,1175,351,35670,51890
E01003034,Lambeth012A,E09000022,Lambeth,1458,1751,210000,432500,1159,580,1434,797,1164,245,1384,314,30230,42420
E01003035,Lambeth012B,E09000022,Lambeth,1432,1557,182000,316250,1213,704,1425,925,1214,233,1390,360,30360,44130
E01003036,Lambeth012C,E09000022,Lambeth,1526,1608,185000,374200,1213,585,1354,768,1211,236,1311,296,30140,43680
E01003037,Lambeth013A,E09000022,Lambeth,1447,1387,187475,350000,1054,322,1154,526,1056,99,1100,159,25820,37870
E01003038,Lambeth013B,E09000022,Lambeth,1541,1506,260000,480000,1279,734,1311,946,1280,331,1272,370,32500,47950
E01003039,Lambeth013C,E09000022,Lambeth,1487,2042,228000,410000,1244,785,1764,1275,1247,354,1724,552,33300,47640
E01003040,Lambeth013D,E09000022,Lambeth,1414,1288,175000,363750,1175,677,1089,679,1181,301,1044,281,31980,44740
E01003041,Lambeth017C,E09000022,Lambeth,1518,1613,203000,230000,1101,393,1331,639,1101,129,1239,187,26310,36520
E01003042,Lambeth013E,E09000022,Lambeth,1509,1043,171500,288000,1152,474,920,478,1152,146,877,175,27130,39950
E01003043,Lambeth018A,E09000022,Lambeth,1487,1634,180000,335500,1178,622,1422,842,1181,203,1345,225,27710,39570
E01003044,Lambeth018B,E09000022,Lambeth,1364,1238,170998,292500,934,275,981,301,932,60,961,50,22330,33040
E01003045,Lambeth011A,E09000022,Lambeth,1404,1971,110000,247555,938,212,1472,402,935,36,1410,88,20610,28810
E01003046,Lambeth009A,E09000022,Lambeth,1516,1741,174000,170000,1034,256,1265,361,1032,51,1233,72,20710,27920
E01003047,Lambeth011B,E09000022,Lambeth,1396,1627,119000,245000,1029,377,1353,519,1029,98,1310,153,22650,31320
E01003048,Lambeth009B,E09000022,Lambeth,1447,1764,95000,175000,1038,248,1279,322,1040,73,1232,62,20310,27760
E01003049,Lambeth011C,E09000022,Lambeth,1428,1695,110000,201250,1034,306,1272,404,1031,80,1220,102,22660,29580
E01003050,Lambeth016B,E09000022,Lambeth,1354,1650,182000,319575,1135,588,1460,848,1134,175,1417,253,26220,37570
E01003051,Lambeth018C,E09000022,Lambeth,1473,1643,87000,250000,987,341,1291,476,989,82,1272,105,22580,33380
E01003052,Lambeth016C,E09000022,Lambeth,1507,1821,149500,189950,1112,357,1370,365,1111,96,1334,65,23120,30000
E01003053,Lambeth015B,E09000022,Lambeth,1429,1728,210000,323500,1230,679,1583,1062,1232,246,1532,321,29190,44310
E01003054,Lambeth015C,E09000022,Lambeth,1412,1832,191000,363500,1265,811,1704,1234,1265,358,1682,458,31940,46790
E01003055,Lambeth016D,E09000022,Lambeth,1461,1490,179000,275000,1172,554,1381,761,1166,192,1330,228,26550,38570
E01003056,Lambeth015D,E09000022,Lambeth,1498,1935,174975,319975,1261,662,1737,1071,1260,237,1682,360,29070,42350
E01003057,Lambeth017D,E09000022,Lambeth,1441,1678,166250,345000,1177,432,1405,661,1178,157,1357,191,26820,35980
E01003058,Lambeth015E,E09000022,Lambeth,1518,1931,206000,320500,1317,735,1762,1136,1317,237,1705,330,29610,43130
E01003059,Lambeth011D,E09000022,Lambeth,1545,1634,87000,249950,1069,220,1294,357,1073,41,1245,72,20630,30170
E01003060,Lambeth011E,E09000022,Lambeth,1492,1558,106250,245000,1014,235,1226,281,1009,41,1176,49,20500,28570
E01003061,Lambeth011F,E09000022,Lambeth,1101,1246,173500,275000,876,379,1052,391,879,125,1031,126,25180,32710
E01003062,Lambeth033A,E09000022,Lambeth,1573,1668,100000,220000,1259,502,1384,697,1256,173,1340,206,26150,38050
E01003063,Lambeth033B,E09000022,Lambeth,1437,1432,87500,212500,1060,295,1107,383,1058,79,1061,102,23030,32940
E01003064,Lambeth028A,E09000022,Lambeth,1465,1536,130000,292500,1186,619,1226,743,1184,234,1190,274,28860,42900
E01003065,Lambeth031A,E09000022,Lambeth,1481,1472,102000,240000,1038,234,1107,286,1038,94,1034,75,21840,31110
E01003066,Lambeth028B,E09000022,Lambeth,1547,1688,92500,202000,1134,349,1327,449,1134,117,1254,138,24480,35650
E01003067,Lambeth033C,E09000022,Lambeth,1495,1471,138000,359950,1127,441,1172,554,1126,181,1117,162,27000,40040
E01003068,Lambeth031B,E09000022,Lambeth,1622,1592,84750,315000,1164,342,1156,382,1163,121,1088,118,24240,34310
E01003069,Lambeth033D,E09000022,Lambeth,1454,1361,125000,277500,1020,250,1000,346,1019,91,947,88,24140,35620
E01003070,Lambeth033E,E09000022,Lambeth,1527,1492,94950,239000,1107,269,1149,342,1107,74,1103,107,22420,33430
E01003071,Lambeth018D,E09000022,Lambeth,1376,2278,195000,360000,1089,600,1953,1291,1091,186,1912,405,28450,43890
E01003072,Lambeth014A,E09000022,Lambeth,1466,1848,196000,580575,1089,597,1462,885,1086,224,1336,311,29610,45400
E01003073,Lambeth014B,E09000022,Lambeth,1361,1697,152500,308500,1076,434,1326,565,1077,125,1281,177,26510,39120
E01003074,Lambeth018E,E09000022,Lambeth,1495,2364,159000,325000,1180,627,1940,1114,1182,197,1897,340,28190,42250
E01003075,Lambeth009C,E09000022,Lambeth,1521,1633,114250,178000,1016,245,1218,280,1016,42,1180,54,21760,30370
E01003076,Lambeth014C,E09000022,Lambeth,1548,1915,120000,220000,1292,653,1614,798,1292,187,1581,201,28160,39220
E01003077,Lambeth014D,E09000022,Lambeth,1531,1792,135000,250000,1249,591,1510,743,1248,151,1466,203,27560,39060
E01003078,Lambeth014E,E09000022,Lambeth,1507,1580,228250,397250,1116,561,1309,738,1111,230,1227,284,30520,45840
E01003079,Lambeth027A,E09000022,Lambeth,1470,1797,90000,255000,1056,355,1389,521,1050,106,1262,138,25900,36380
E01003080,Lambeth027B,E09000022,Lambeth,1499,1603,135500,231750,1182,487,1279,623,1180,145,1247,160,27860,39250
E01003081,Lambeth028C,E09000022,Lambeth,1615,1783,115000,197500,1227,468,1404,560,1226,153,1363,141,26040,37310
E01003082,Lambeth031C,E09000022,Lambeth,1471,1452,132000,248000,1092,299,1129,386,1094,87,1032,105,24470,33670
E01003083,Lambeth030A,E09000022,Lambeth,1475,1508,136000,242500,1093,426,1213,498,1095,159,1127,179,28160,40340
E01003084,Lambeth030B,E09000022,Lambeth,1481,1611,124500,276000,1155,496,1264,635,1155,144,1231,192,28200,40380
E01003085,Lambeth030C,E09000022,Lambeth,1616,1734,167000,341250,1170,398,1356,522,1172,147,1253,159,28000,39420
E01003086,Lambeth031D,E09000022,Lambeth,1547,1611,96500,203498,1059,217,1156,307,1059,67,1108,79,23260,31230
E01003087,Lambeth031E,E09000022,Lambeth,1513,1664,72000,160000,1010,220,1141,278,1002,62,1075,78,22380,30220
E01003088,Lambeth010A,E09000022,Lambeth,1486,1817,200000,335975,1140,476,1512,777,1141,122,1473,245,25200,37050
E01003089,Lambeth008A,E09000022,Lambeth,1663,1874,115000,241250,1133,302,1457,447,1134,65,1439,92,21870,31230
E01003090,Lambeth012D,E09000022,Lambeth,1587,2279,175000,295000,1306,727,2071,1254,1305,256,2029,432,29010,41070
E01003091,Lambeth008B,E09000022,Lambeth,1543,1667,127000,320000,1105,444,1313,588,1107,142,1280,161,25400,34140
E01003092,Lambeth008C,E09000022,Lambeth,1518,1787,158000,245000,1074,307,1425,483,1078,76,1326,108,22720,30870
E01003093,Lambeth010B,E09000022,Lambeth,1501,2371,90000,240000,1078,283,1760,556,1074,75,1673,139,21800,32420
E01003094,Lambeth010C,E09000022,Lambeth,1498,1539,248975,507500,1221,578,1358,694,1221,194,1289,213,27830,38280
E01003095,Lambeth012E,E09000022,Lambeth,1494,1838,199950,304000,1179,665,1540,927,1179,250,1487,346,30430,42620
E01003096,Lambeth010D,E09000022,Lambeth,1616,2071,200000,279745,1422,795,1935,1247,1418,249,1875,420,28390,40570
E01003097,Lambeth006A,E09000022,Lambeth,1613,1671,123000,221150,1205,244,1400,435,1205,74,1319,91,21730,31670
E01003098,Lambeth005A,E09000022,Lambeth,1436,1558,175000,306000,1097,502,1275,642,1094,176,1219,203,27260,39220
E01003099,Lambeth005B,E09000022,Lambeth,1512,1590,134000,247500,1134,469,1307,645,1134,155,1271,190,25680,36790
E01003100,Lambeth005C,E09000022,Lambeth,1522,1942,175000,285250,1396,906,1798,1248,1397,321,1770,414,30090,41440
E01003101,Lambeth003A,E09000022,Lambeth,1441,1568,218000,317500,1053,427,1275,619,1055,142,1245,206,25760,36540
E01003102,Lambeth004A,E09000022,Lambeth,1512,1738,170000,360000,1206,574,1579,893,1205,177,1467,289,28040,40780
E01003104,Lambeth004C,E09000022,Lambeth,1472,1608,146250,272500,1230,617,1417,739,1229,210,1370,239,26730,37670
E01003105,Lambeth003B,E09000022,Lambeth,1436,1673,157000,292500,1060,334,1368,558,1057,91,1267,152,23210,34710
E01003106,Lambeth003C,E09000022,Lambeth,1412,1962,212000,377000,1117,540,1613,883,1118,222,1535,295,28100,39960
E01003107,Lambeth003D,E09000022,Lambeth,1533,1912,260000,494500,1198,638,1669,1049,1200,240,1603,383,29090,42730
E01003108,Lambeth002B,E09000022,Lambeth,1506,1555,132500,178000,1110,326,1244,487,1112,110,1174,149,22720,33930
E01003109,Lambeth003E,E09000022,Lambeth,1462,2255,118750,386250,1101,326,1858,817,1104,101,1792,269,25190,36300
E01003110,Lambeth002C,E09000022,Lambeth,1461,1873,217500,325000,1183,577,1620,952,1179,249,1548,389,29210,41060
E01003111,Lambeth002D,E09000022,Lambeth,1499,1530,136000,270000,1079,220,1207,292,1080,51,1125,70,20070,30470
E01003112,Lambeth002E,E09000022,Lambeth,1327,1502,277000,380000,1069,347,1273,472,1067,96,1220,161,27070,33670
E01003113,Lambeth032A,E09000022,Lambeth,1565,1988,115000,224500,1248,556,1632,768,1247,185,1588,228,28880,39340
E01003114,Lambeth032B,E09000022,Lambeth,1612,1817,115000,285500,1302,552,1500,717,1300,191,1465,194,28200,39510
E01003115,Lambeth034A,E09000022,Lambeth,1424,1618,100000,225000,1133,448,1293,577,1139,158,1255,155,27140,38800
E01003116,Lambeth029A,E09000022,Lambeth,1497,1598,116950,279000,1156,488,1305,613,1158,182,1217,209,29180,41950
E01003117,Lambeth029B,E09000022,Lambeth,1551,1926,119250,275000,1315,616,1637,804,1312,198,1558,233,28610,39610
E01003118,Lambeth029C,E09000022,Lambeth,1460,1735,162000,327500,1067,495,1462,719,1066,189,1375,225,29790,41850
E01003119,Lambeth032C,E09000022,Lambeth,1571,1885,120000,223000,1249,617,1573,743,1246,197,1516,216,28920,39080
E01003120,Lambeth032D,E09000022,Lambeth,1535,1983,128498,242500,1306,599,1669,651,1306,180,1613,163,27840,36270
E01003121,Lambeth006B,E09000022,Lambeth,1568,1624,83475,203000,1056,262,1238,302,1056,52,1183,84,21520,31170
E01003122,Lambeth004D,E09000022,Lambeth,1374,1813,148950,297500,1034,415,1553,787,1030,141,1507,245,25910,37600
E01003123,Lambeth006C,E09000022,Lambeth,1557,1489,147475,450000,1194,633,1288,756,1192,210,1250,247,27510,40520
E01003124,Lambeth006D,E09000022,Lambeth,1468,1444,147000,290000,1111,407,1210,468,1117,115,1155,130,23950,33650
E01003125,Lambeth006E,E09000022,Lambeth,1570,1762,100000,163500,1063,245,1290,328,1064,53,1222,59,20740,29410
E01003126,Lambeth008D,E09000022,Lambeth,1432,1532,99500,179950,1030,316,1220,447,1026,90,1171,112,22800,32490
E01003127,Lambeth010E,E09000022,Lambeth,1473,1773,141000,335000,1103,462,1473,710,1105,156,1422,243,26360,38330
E01003128,Lambeth008E,E09000022,Lambeth,1416,1501,124500,210000,999,304,1200,362,994,89,1143,83,22500,30340
E01003129,Lambeth004E,E09000022,Lambeth,1556,1839,162000,306500,1216,600,1589,781,1217,197,1537,252,27640,38230
E01003130,Lambeth026A,E09000022,Lambeth,1555,1740,90000,249950,1254,496,1454,727,1255,163,1384,236,26810,40490
E01003131,Lambeth026B,E09000022,Lambeth,1527,1447,131070,265000,1138,528,1189,625,1139,170,1141,211,28850,41370
E01003132,Lambeth024A,E09000022,Lambeth,1401,1522,91250,258500,1002,237,1187,351,1001,63,1033,82,22650,32360
E01003133,Lambeth027C,E09000022,Lambeth,1405,1719,94000,258750,1112,530,1393,688,1115,226,1351,208,28640,39790
E01003134,Lambeth027D,E09000022,Lambeth,1461,1556,134000,303500,1089,430,1254,567,1092,140,1184,170,26940,40790
E01003135,Lambeth026C,E09000022,Lambeth,1478,1684,160000,250000,1175,437,1395,584,1174,134,1336,177,26330,37650
E01003136,Lambeth022A,E09000022,Lambeth,1542,1583,103500,201750,1223,487,1295,607,1220,139,1255,156,26540,35050
E01003137,Lambeth022B,E09000022,Lambeth,1516,1475,79950,172500,1157,389,1167,412,1157,96,1125,82,24180,32640
E01003138,Lambeth026D,E09000022,Lambeth,1474,1537,189950,410000,1249,727,1316,839,1246,266,1266,312,31400,45250
